0,524285,"(63, '1111111111101')",76.41002728798286
0,524159,"(63, '1111101111111')",59.99675216354799
0,524031,"(63, '1111011111111')",58.18430554628355
0,524223,"(63, '1111110111111')",56.64084647381843
0,523775,"(63, '1110111111111')",56.25609293177069
0,523263,"(63, '1101111111111')",54.33856403139213
0,522239,"(63, '1011111111111')",52.4788146953973
0,524283,"(63, '1111111111011')",52.434650015685044
0,507775,"(61, '1111101111111')",51.276606102586854
0,483199,"(58, '1111101111111')",51.276606102586854
0,491391,"(59, '1111101111111')",51.27660610258685
0,515967,"(62, '1111101111111')",51.27660610258685
0,475007,"(57, '1111101111111')",51.27660610258684
0,499583,"(60, '1111101111111')",51.27660610258684
0,520191,"(63, '0111111111111')",50.60680960210788
0,524279,"(63, '1111111110111')",50.211616116474694
0,524255,"(63, '1111111011111')",50.011985302147615
0,524271,"(63, '1111111101111')",49.804962851183646
0,499455,"(60, '1111011111111')",49.343654084683905
0,491263,"(59, '1111011111111')",49.343654084683905
0,483071,"(58, '1111011111111')",49.3436540846839
0,515839,"(62, '1111011111111')",49.3436540846839
0,507647,"(61, '1111011111111')",49.34365408468389
0,524286,"(63, '1111111111110')",49.174752996604454
0,491007,"(59, '1110111111111')",47.20785004238935
0,515583,"(62, '1110111111111')",47.207850042389346
0,499199,"(60, '1110111111111')",47.207850042389346
0,507391,"(61, '1110111111111')",47.20785004238933
0,498687,"(60, '1101111111111')",45.09285092192067
0,515071,"(62, '1101111111111')",45.09285092192067
0,506879,"(61, '1101111111111')",45.092850921920665
0,514047,"(62, '1011111111111')",43.145834437566144
0,505855,"(61, '1011111111111')",43.14583443756613
0,511999,"(62, '0111111111111')",41.47049914811514
0,434047,"(52, '1111101111111')",38.90415697042764
0,442239,"(53, '1111101111111')",38.904156970427636
0,425855,"(51, '1111101111111')",38.904156970427636
0,466815,"(56, '1111101111111')",38.90415697042763
0,450431,"(54, '1111101111111')",38.90415697042763
0,458623,"(55, '1111101111111')",38.90415697042762
0,458495,"(55, '1111011111111')",36.758032511104005
0,474879,"(57, '1111011111111')",36.75803251110399
0,442111,"(53, '1111011111111')",36.75803251110399
0,450303,"(54, '1111011111111')",36.758032511103984
0,466687,"(56, '1111011111111')",36.75803251110398
0,482815,"(58, '1110111111111')",34.31211419636983
0,458239,"(55, '1110111111111')",34.312114196369826
0,466431,"(56, '1110111111111')",34.31211419636982
0,474623,"(57, '1110111111111')",34.31211419636981
0,474111,"(57, '1101111111111')",31.90456282066777
0,482303,"(58, '1101111111111')",31.904562820667767
